simulation_id,simulation_title,simulation_categoria,simulation_nivel_dificultad,simulation_duracion_horas,simulation_industria,simulation_required_skills,base_career
sim_data_scientist,Data Scientist Virtual Experience,STEM,Upper-Intermediate,9.9,Technology,"['SQL', 'Data Analysis', 'Python', 'Statistics', 'Machine Learning', 'R', 'TensorFlow']",Data Scientist
sim_software_engineer,Software Engineer Virtual Experience,STEM,Expert,20.0,Technology,"['SQL', 'Node.js', 'Python', 'AWS', 'JavaScript', 'Git']",Software Engineer
sim_ux_designer,UX Designer Virtual Experience,Design,Beginner,3.5,Creative & Design,"['UI Design', 'UX Research', 'User Research', 'Figma', 'Wireframing']",UX Designer
sim_ai_researcher,AI Researcher Virtual Experience,STEM,Advanced,15.0,Technology,"['Research', 'Excel', 'Python']",AI Researcher
sim_project_manager,Project Manager Virtual Experience,Business,Advanced,12.6,Business & Management,"['Project Management', 'Jira', 'Excel', 'Scrum', 'Agile']",Project Manager
sim_embedded_systems_engineer,Embedded Systems Engineer Virtual Experience,STEM,Upper-Intermediate,9.3,Technology,"['Research', 'Python', 'Data Analysis']",Embedded Systems Engineer
sim_data_analyst,Data Analyst Virtual Experience,STEM,Lower-Intermediate,5.1,Technology,"['SQL', 'Tableau', 'Data Analysis', 'Excel', 'Statistics']",Data Analyst
sim_digital_marketer,Digital Marketer Virtual Experience,Other,Beginner,4.3,General,"['PPC', 'Social Media', 'Content Creation', 'SEO', 'Marketing']",Digital Marketer
sim_nlp_engineer,NLP Engineer Virtual Experience,STEM,Advanced,13.3,Technology,"['Research', 'Excel', 'Python']",NLP Engineer
sim_financial_analyst,Financial Analyst Virtual Experience,Finance,Advanced,13.7,Finance & Banking,"['SQL', 'Financial Modeling', 'Financial Analysis', 'Excel', 'Accounting', 'DCF Analysis', 'Forecasting']",Financial Analyst
sim_research_scientist,Research Scientist Virtual Experience,STEM,Lower-Intermediate,6.6,Technology,"['Research', 'Data Analysis', 'Python', 'Statistics', 'Machine Learning', 'TensorFlow']",Research Scientist
sim_front-end_developer,Front-end Developer Virtual Experience,STEM,Advanced,13.3,Technology,"['Research', 'Excel', 'Python']",Front-end Developer
sim_software_developer,Software Developer Virtual Experience,STEM,Advanced,14.2,Technology,"['SQL', 'Node.js', 'Docker', 'Python', 'JavaScript', 'Git']",Software Developer
sim_machine_learning_engineer,Machine Learning Engineer Virtual Experience,STEM,Lower-Intermediate,7.2,Technology,"['Data Analysis', 'Python', 'Machine Learning', 'Kubernetes', 'TensorFlow']",Machine Learning Engineer
sim_marketing_manager,Marketing Manager Virtual Experience,Business,Advanced,12.3,Business & Management,"['Strategic Planning', 'Marketing', 'Social Media', 'SEO']",Marketing Manager
sim_full_stack_developer,Full Stack Developer Virtual Experience,STEM,Lower-Intermediate,5.6,Technology,"['SQL', 'Node.js', 'Docker', 'AWS', 'React', 'JavaScript', 'MongoDB']",Full Stack Developer
sim_ai_specialist,AI Specialist Virtual Experience,Other,Upper-Intermediate,9.4,General,"['Research', 'Excel', 'Data Analysis']",AI Specialist
sim_cybersecurity_analyst,Cybersecurity Analyst Virtual Experience,STEM,Lower-Intermediate,5.2,Technology,"['Research', 'Excel', 'Python']",Cybersecurity Analyst
sim_research_analyst,Research Analyst Virtual Experience,STEM,Advanced,14.2,Technology,"['Research', 'Tableau', 'Data Analysis', 'Excel', 'Statistics']",Research Analyst
