user_id,education_level,field_of_study,analytical_score,creative_score,social_score,linguistic_score,hands_on_score,simulation_id,simulation_categoria,simulation_nivel_dificultad,simulation_duracion_horas,simulation_industria,label,engagement_probability,source_dataset,sample_type,education_level_encoded,field_of_study_encoded,simulation_categoria_encoded,simulation_nivel_dificultad_encoded,simulation_industria_encoded
ai_0,Bachelor's,Computer Science,76,49,58,54,70,sim_data_scientist,STEM,Upper-Intermediate,9.9,Technology,1,0.7935714285714285,ai_career,positive,0,3,7,4,7
ai_0,Bachelor's,Computer Science,76,49,58,54,70,sim_content_strategist,Business,Beginner,3.3,Business & Management,0,0.2413946672560785,ai_career,negative,0,3,0,1,0
ai_0,Bachelor's,Computer Science,76,49,58,54,70,sim_data_entry_operator,Other,Beginner,3.1,General,0,0.22552139792393505,ai_career,negative,0,3,6,1,4
ai_1,Master's,Computer Science,77,50,36,58,82,sim_software_engineer,STEM,Expert,20.0,Technology,1,0.73,ai_career,positive,2,3,7,2,7
ai_1,Master's,Computer Science,77,50,36,58,82,sim_clerk,Finance,Beginner,3.7,Finance & Banking,0,0.37172475218240764,ai_career,negative,2,3,3,1,3
ai_1,Master's,Computer Science,77,50,36,58,82,sim_veterinarian,Other,Beginner,4.6,General,0,0.3707741484749032,ai_career,negative,2,3,6,1,4
ai_2,Bachelor's,Design,45,90,73,75,68,sim_ux_designer,Design,Beginner,3.5,Creative & Design,1,0.616,ai_career,positive,0,4,1,1,1
ai_2,Bachelor's,Design,45,90,73,75,68,sim_chartered_accountant,Finance,Beginner,4.8,Finance & Banking,0,0.3977256105649528,ai_career,negative,0,4,3,1,3
ai_2,Bachelor's,Design,45,90,73,75,68,sim_lawyer,Legal,Expert,16.6,Legal Services,0,0.2652588997924928,ai_career,negative,0,4,5,2,6
ai_3,Bachelor's,Computer Science,77,32,51,60,61,sim_ai_researcher,STEM,Advanced,15.0,Technology,1,0.651,ai_career,positive,0,3,7,0,7
ai_3,Bachelor's,Computer Science,77,32,51,60,61,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.20327846230798086,ai_career,negative,0,3,4,2,5
ai_3,Bachelor's,Computer Science,77,32,51,60,61,sim_veterinarian,Other,Beginner,4.6,General,0,0.1721170189533111,ai_career,negative,0,3,6,1,4
ai_4,Master's,Business,73,56,70,71,60,sim_project_manager,Business,Advanced,12.6,Business & Management,1,0.609,ai_career,positive,2,1,0,0,0
ai_4,Master's,Business,73,56,70,71,60,sim_pre_primary_teacher_(2020_nep_and_mental_health),Education,Lower-Intermediate,7.1,Education,0,0.11022890708549854,ai_career,negative,2,1,2,3,2
ai_4,Master's,Business,73,56,70,71,60,sim_junior_accountant,Finance,Advanced,13.7,Finance & Banking,0,0.3180185872632657,ai_career,negative,2,1,3,0,3
ai_5,Bachelor's,Computer Science,70,41,55,51,84,sim_embedded_systems_engineer,STEM,Upper-Intermediate,9.3,Technology,1,0.637,ai_career,positive,0,3,7,4,7
ai_5,Bachelor's,Computer Science,70,41,55,51,84,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.17004285212063402,ai_career,negative,0,3,4,2,5
ai_5,Bachelor's,Computer Science,70,41,55,51,84,sim_digital_marketer,Other,Beginner,4.3,General,0,0.2819922655676972,ai_career,negative,0,3,6,1,4
ai_6,Master's,Computer Science,86,39,57,55,74,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.683,ai_career,positive,2,3,7,3,7
ai_6,Master's,Computer Science,86,39,57,55,74,sim_ux_designer,Design,Beginner,3.5,Creative & Design,0,0.37497770960931864,ai_career,negative,2,3,1,1,1
ai_6,Master's,Computer Science,86,39,57,55,74,sim_biostatistician,Other,Beginner,3.7,General,0,0.3850640822183581,ai_career,negative,2,3,6,1,4
ai_7,Bachelor's,General Studies,54,58,51,59,42,sim_digital_marketer,Other,Beginner,4.3,General,1,0.752,ai_career,positive,0,8,6,1,4
ai_7,Bachelor's,General Studies,54,58,51,59,42,sim_data_engineer,STEM,Lower-Intermediate,6.0,Technology,0,0.1013230401940931,ai_career,negative,0,8,7,3,7
ai_7,Bachelor's,General Studies,54,58,51,59,42,sim_nlp_engineer,STEM,Advanced,13.3,Technology,0,0.19512250941290693,ai_career,negative,0,8,7,0,7
ai_8,Bachelor's,Computer Science,74,48,36,60,68,sim_nlp_engineer,STEM,Advanced,13.3,Technology,1,0.644,ai_career,positive,0,3,7,0,7
ai_8,Bachelor's,Computer Science,74,48,36,60,68,sim_chief_financial_officer,Finance,Upper-Intermediate,10.7,Finance & Banking,0,0.3512134088395681,ai_career,negative,0,3,3,4,3
ai_8,Bachelor's,Computer Science,74,48,36,60,68,sim_digital_marketer,Other,Beginner,4.3,General,0,0.2609335616054606,ai_career,negative,0,3,6,1,4
ai_9,Master's,Finance,81,42,43,63,67,sim_financial_analyst,Finance,Advanced,13.7,Finance & Banking,1,0.8014285714285714,ai_career,positive,2,7,3,0,3
ai_9,Master's,Finance,81,42,43,63,67,sim_content_strategist,Business,Beginner,3.3,Business & Management,0,0.34225262004464585,ai_career,negative,2,7,0,1,0
ai_9,Master's,Finance,81,42,43,63,67,sim_physical_therapist,Health,Expert,16.7,Healthcare,0,0.3559969848513814,ai_career,negative,2,7,4,2,5
ai_10,PhD,Computer Science,95,38,55,60,61,sim_research_scientist,STEM,Lower-Intermediate,6.6,Technology,1,0.8079999999999999,ai_career,positive,3,3,7,3,7
ai_10,PhD,Computer Science,95,38,55,60,61,sim_language_teacher,Education,Lower-Intermediate,6.6,Education,0,0.23278786598239687,ai_career,negative,3,3,2,3,2
ai_10,PhD,Computer Science,95,38,55,60,61,sim_biostatistician,Other,Beginner,3.7,General,0,0.2076948814074357,ai_career,negative,3,3,6,1,4
ai_11,Bachelor's,Computer Science,89,44,57,46,71,sim_front-end_developer,STEM,Advanced,13.3,Technology,1,0.595,ai_career,positive,0,3,7,0,7
ai_11,Bachelor's,Computer Science,89,44,57,46,71,sim_music_teacher,Education,Lower-Intermediate,7.0,Education,0,0.23662997981515768,ai_career,negative,0,3,2,3,2
ai_11,Bachelor's,Computer Science,89,44,57,46,71,sim_data_entry_operator,Other,Beginner,3.1,General,0,0.2958385607872799,ai_career,negative,0,3,6,1,4
ai_12,Bachelor's,Computer Science,77,44,32,53,76,sim_software_developer,STEM,Advanced,14.2,Technology,1,0.816,ai_career,positive,0,3,7,0,7
ai_12,Bachelor's,Computer Science,77,44,32,53,76,sim_physical_therapist,Health,Expert,16.7,Healthcare,0,0.2101477458660455,ai_career,negative,0,3,4,2,5
ai_12,Bachelor's,Computer Science,77,44,32,53,76,sim_financial_analyst,Finance,Advanced,13.7,Finance & Banking,0,0.33249648660932585,ai_career,negative,0,3,3,0,3
ai_13,Master's,Computer Science,73,47,37,43,61,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.69,ai_career,positive,2,3,7,3,7
ai_13,Master's,Computer Science,73,47,37,43,61,sim_pre_primary_teacher_(2020_nep_and_mental_health),Education,Lower-Intermediate,7.1,Education,0,0.37119783810550677,ai_career,negative,2,3,2,3,2
ai_13,Master's,Computer Science,73,47,37,43,61,sim_economist,Finance,Expert,19.8,Finance & Banking,0,0.184693360647618,ai_career,negative,2,3,3,2,3
ai_14,Master's,Computer Science,75,39,33,57,85,sim_machine_learning_engineer,STEM,Lower-Intermediate,7.2,Technology,1,0.771,ai_career,positive,2,3,7,3,7
ai_14,Master's,Computer Science,75,39,33,57,85,sim_fashion_designer,Design,Beginner,5.0,Creative & Design,0,0.3894968932522719,ai_career,negative,2,3,1,1,1
ai_14,Master's,Computer Science,75,39,33,57,85,sim_psychologist,Health,Upper-Intermediate,8.7,Healthcare,0,0.2868175740175932,ai_career,negative,2,3,4,4,5
ai_15,Bachelor's,General Studies,51,41,49,43,53,sim_digital_marketer,Other,Beginner,4.3,General,1,0.759,ai_career,positive,0,8,6,1,4
ai_15,Bachelor's,General Studies,51,41,49,43,53,sim_front-end_developer,STEM,Advanced,13.3,Technology,0,0.36345063136592237,ai_career,negative,0,8,7,0,7
ai_15,Bachelor's,General Studies,51,41,49,43,53,sim_primary_teacher,Education,Upper-Intermediate,11.3,Education,0,0.13117493058163165,ai_career,negative,0,8,2,4,2
ai_16,Bachelor's,Computer Science,85,44,37,53,82,sim_data_scientist,STEM,Upper-Intermediate,9.9,Technology,1,0.7725714285714286,ai_career,positive,0,3,7,4,7
ai_16,Bachelor's,Computer Science,85,44,37,53,82,sim_veterinarian,Other,Beginner,4.6,General,0,0.17544974111687162,ai_career,negative,0,3,6,1,4
ai_16,Bachelor's,Computer Science,85,44,37,53,82,sim_business_manager,Business,Advanced,15.9,Business & Management,0,0.19630572382977768,ai_career,negative,0,3,0,0,0
ai_17,Bachelor's,Computer Science,94,37,50,55,72,sim_software_developer,STEM,Advanced,14.2,Technology,1,0.752,ai_career,positive,0,3,7,0,7
ai_17,Bachelor's,Computer Science,94,37,50,55,72,sim_fashion_designer,Design,Beginner,5.0,Creative & Design,0,0.19084664535235402,ai_career,negative,0,3,1,1,1
ai_17,Bachelor's,Computer Science,94,37,50,55,72,sim_psychologist,Health,Upper-Intermediate,8.7,Healthcare,0,0.15155834697955956,ai_career,negative,0,3,4,4,5
ai_18,Master's,Business,67,59,85,82,48,sim_project_manager,Business,Advanced,12.6,Business & Management,1,0.623,ai_career,positive,2,1,0,0,0
ai_18,Master's,Business,67,59,85,82,48,sim_graphic_designer,Design,Upper-Intermediate,9.6,Creative & Design,0,0.3604602842574497,ai_career,negative,2,1,1,4,1
ai_18,Master's,Business,67,59,85,82,48,sim_professor,Education,Lower-Intermediate,5.1,Education,0,0.22558364238686504,ai_career,negative,2,1,2,3,2
ai_19,Bachelor's,Design,49,92,50,61,73,sim_ux_designer,Design,Beginner,3.5,Creative & Design,1,0.63,ai_career,positive,0,4,1,1,1
ai_19,Bachelor's,Design,49,92,50,61,73,sim_content_strategist,Business,Beginner,3.3,Business & Management,0,0.3889390637400365,ai_career,negative,0,4,0,1,0
ai_19,Bachelor's,Design,49,92,50,61,73,sim_ai_specialist,Other,Upper-Intermediate,9.4,General,0,0.27504171003704414,ai_career,negative,0,4,6,4,4
ai_20,Bachelor's,Computer Science,93,30,41,47,83,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.856,ai_career,positive,0,3,7,3,7
ai_20,Bachelor's,Computer Science,93,30,41,47,83,sim_financial_analyst,Finance,Advanced,13.7,Finance & Banking,0,0.14151839069345895,ai_career,negative,0,3,3,0,3
ai_20,Bachelor's,Computer Science,93,30,41,47,83,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.26377141295018713,ai_career,negative,0,3,4,2,5
ai_21,Master's,Business,60,63,81,77,42,sim_marketing_manager,Business,Advanced,12.3,Business & Management,1,0.712,ai_career,positive,2,1,0,0,0
ai_21,Master's,Business,60,63,81,77,42,sim_music_teacher,Education,Lower-Intermediate,7.0,Education,0,0.39806354431727276,ai_career,negative,2,1,2,3,2
ai_21,Master's,Business,60,63,81,77,42,sim_full_stack_developer,STEM,Lower-Intermediate,5.6,Technology,0,0.26955150612978246,ai_career,negative,2,1,7,3,7
ai_22,Bachelor's,Computer Science,72,30,56,44,69,sim_full_stack_developer,STEM,Lower-Intermediate,5.6,Technology,1,0.7804285714285714,ai_career,positive,0,3,7,3,7
ai_22,Bachelor's,Computer Science,72,30,56,44,69,sim_chartered_accountant,Finance,Beginner,4.8,Finance & Banking,0,0.10056080353886879,ai_career,negative,0,3,3,1,3
ai_22,Bachelor's,Computer Science,72,30,56,44,69,sim_language_teacher,Education,Lower-Intermediate,6.6,Education,0,0.37992397107712583,ai_career,negative,0,3,2,3,2
ai_23,Master's,General Studies,46,48,46,48,47,sim_ai_specialist,Other,Upper-Intermediate,9.4,General,1,0.644,ai_career,positive,2,8,6,4,4
ai_23,Master's,General Studies,46,48,46,48,47,sim_financial_analyst,Finance,Advanced,13.7,Finance & Banking,0,0.17046832183845684,ai_career,negative,2,8,3,0,3
ai_23,Master's,General Studies,46,48,46,48,47,sim_artist,Design,Advanced,14.9,Creative & Design,0,0.30655871592068706,ai_career,negative,2,8,1,0,1
ai_24,Bachelor's,Computer Science,81,31,30,55,82,sim_cybersecurity_analyst,STEM,Lower-Intermediate,5.2,Technology,1,0.623,ai_career,positive,0,3,7,3,7
ai_24,Bachelor's,Computer Science,81,31,30,55,82,sim_business_manager,Business,Advanced,15.9,Business & Management,0,0.25452404648663285,ai_career,negative,0,3,0,0,0
ai_24,Bachelor's,Computer Science,81,31,30,55,82,sim_consultant,Business,Upper-Intermediate,12.0,Business & Management,0,0.19763012705226585,ai_career,negative,0,3,0,4,0
ai_25,Master's,Computer Science,92,34,32,51,67,sim_research_analyst,STEM,Advanced,14.2,Technology,1,0.69,ai_career,positive,2,3,7,0,7
ai_25,Master's,Computer Science,92,34,32,51,67,sim_project_manager,Business,Advanced,12.6,Business & Management,0,0.18479185710291662,ai_career,negative,2,3,0,0,0
ai_25,Master's,Computer Science,92,34,32,51,67,sim_pre_primary_teacher_(2020_nep_and_mental_health),Education,Lower-Intermediate,7.1,Education,0,0.3786279587521315,ai_career,negative,2,3,2,3,2
ai_26,Bachelor's,Computer Science,91,32,30,42,64,sim_devops_engineer,STEM,Lower-Intermediate,6.9,Technology,1,0.817,ai_career,positive,0,3,7,3,7
ai_26,Bachelor's,Computer Science,91,32,30,42,64,sim_graphic_designer,Design,Upper-Intermediate,9.6,Creative & Design,0,0.37357776877595117,ai_career,negative,0,3,1,4,1
ai_26,Bachelor's,Computer Science,91,32,30,42,64,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.2539404520161338,ai_career,negative,0,3,4,2,5
ai_27,Bachelor's,Design,49,93,52,55,69,sim_graphic_designer,Design,Upper-Intermediate,9.6,Creative & Design,1,0.9019999999999999,ai_career,positive,0,4,1,4,1
ai_27,Bachelor's,Design,49,93,52,55,69,sim_project_manager,Business,Advanced,12.6,Business & Management,0,0.17754855866054178,ai_career,negative,0,4,0,0,0
ai_27,Bachelor's,Design,49,93,52,55,69,sim_ai_researcher,STEM,Advanced,15.0,Technology,0,0.13070260965159936,ai_career,negative,0,4,7,0,7
ai_28,Master's,Computer Science,95,43,36,48,74,sim_deep_learning_engineer,STEM,Lower-Intermediate,6.2,Technology,1,0.651,ai_career,positive,2,3,7,3,7
ai_28,Master's,Computer Science,95,43,36,48,74,sim_physician,Health,Beginner,4.2,Healthcare,0,0.14697291485772568,ai_career,negative,2,3,4,1,5
ai_28,Master's,Computer Science,95,43,36,48,74,sim_junior_accountant,Finance,Advanced,13.7,Finance & Banking,0,0.2566755177221814,ai_career,negative,2,3,3,0,3
ai_29,Bachelor's,Business,64,70,74,82,58,sim_business_analyst,Business,Upper-Intermediate,11.1,Business & Management,1,0.691,ai_career,positive,0,1,0,4,0
ai_29,Bachelor's,Business,64,70,74,82,58,sim_devops_engineer,STEM,Lower-Intermediate,6.9,Technology,0,0.19234898817370277,ai_career,negative,0,1,7,3,7
ai_29,Bachelor's,Business,64,70,74,82,58,sim_physician,Health,Beginner,4.2,Healthcare,0,0.11262044267798701,ai_career,negative,0,1,4,1,5
ai_30,Master's,Computer Science,76,46,49,43,89,sim_backend_developer,STEM,Beginner,4.2,Technology,1,0.7515714285714286,ai_career,positive,2,3,7,1,7
ai_30,Master's,Computer Science,76,46,49,43,89,sim_artist,Design,Advanced,14.9,Creative & Design,0,0.23655021559333006,ai_career,negative,2,3,1,0,1
ai_30,Master's,Computer Science,76,46,49,43,89,sim_music_teacher,Education,Lower-Intermediate,7.0,Education,0,0.32385678773929416,ai_career,negative,2,3,2,3,2
ai_31,Bachelor's,Computer Science,74,36,42,54,70,sim_front-end_developer,STEM,Advanced,13.3,Technology,1,0.595,ai_career,positive,0,3,7,0,7
ai_31,Bachelor's,Computer Science,74,36,42,54,70,sim_primary_teacher,Education,Upper-Intermediate,11.3,Education,0,0.3675085347879963,ai_career,negative,0,3,2,4,2
ai_31,Bachelor's,Computer Science,74,36,42,54,70,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.27558521370492683,ai_career,negative,0,3,4,2,5
ai_32,Master's,General Studies,43,52,46,58,41,sim_biostatistician,Other,Beginner,3.7,General,1,0.644,ai_career,positive,2,8,6,1,4
ai_32,Master's,General Studies,43,52,46,58,41,sim_embedded_systems_engineer,STEM,Upper-Intermediate,9.3,Technology,0,0.3169876371527338,ai_career,negative,2,8,7,4,7
ai_32,Master's,General Studies,43,52,46,58,41,sim_music_teacher,Education,Lower-Intermediate,7.0,Education,0,0.20922114125947974,ai_career,negative,2,8,2,3,2
ai_33,Bachelor's,Design,44,92,74,75,70,sim_graphic_designer,Design,Upper-Intermediate,9.6,Creative & Design,1,0.909,ai_career,positive,0,4,1,4,1
ai_33,Bachelor's,Design,44,92,74,75,70,sim_data_scientist,STEM,Upper-Intermediate,9.9,Technology,0,0.24887145376508188,ai_career,negative,0,4,7,4,7
ai_33,Bachelor's,Design,44,92,74,75,70,sim_financial_advisor,Finance,Upper-Intermediate,10.5,Finance & Banking,0,0.3188880569530088,ai_career,negative,0,4,3,4,3
ai_34,Master's,Computer Science,81,41,49,50,85,sim_data_engineer,STEM,Lower-Intermediate,6.0,Technology,1,0.637,ai_career,positive,2,3,7,3,7
ai_34,Master's,Computer Science,81,41,49,50,85,sim_school_counselor,Education,Lower-Intermediate,6.9,Education,0,0.31829746821168836,ai_career,negative,2,3,2,3,2
ai_34,Master's,Computer Science,81,41,49,50,85,sim_biostatistician,Other,Beginner,3.7,General,0,0.22735787937085128,ai_career,negative,2,3,6,1,4
ai_35,Bachelor's,Business,72,69,71,70,40,sim_content_strategist,Business,Beginner,3.3,Business & Management,1,0.602,ai_career,positive,0,1,0,1,0
ai_35,Bachelor's,Business,72,69,71,70,40,sim_ux_designer,Design,Beginner,3.5,Creative & Design,0,0.2631002024674969,ai_career,negative,0,1,1,1,1
ai_35,Bachelor's,Business,72,69,71,70,40,sim_language_teacher,Education,Lower-Intermediate,6.6,Education,0,0.3771566018652909,ai_career,negative,0,1,2,3,2
ai_36,Master's,Computer Science,94,49,42,48,62,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.81,ai_career,positive,2,3,7,3,7
